date,Q1,Q2,Q3,Q4,Q5,spread
1951-01-31,6.16702,8.27006666666667,6.5227,10.0002,3.22156,-2.9454599999999997
1951-02-28,0.338149999999996,4.24125,1.66034,-0.79726,5.38061666666667,5.042466666666674
1951-03-31,-1.62184285714286,-0.925857142857143,-4.37118333333333,-4.71758571428572,-4.92431428571429,-3.3024714285714305
1951-04-30,4.11074,2.82727777777778,2.62664444444445,2.17847777777778,3.11407,-0.99667
1951-05-31,-2.94081538461539,2.26915833333333,2.25412307692308,-1.66128333333333,-3.07120769230769,-0.13039230769230015
1951-06-29,-6.94447857142857,-4.56956428571429,-3.73843076923077,-6.05822142857143,-5.43625714285714,1.5082214285714306
1951-07-31,7.0262895522388,6.85155846153846,6.25736212121212,6.94447575757575,7.57218955223881,0.5459000000000103
1951-08-31,3.90561884057971,5.24553088235294,5.31774057971015,5.07400294117647,5.2261536231884,1.3205347826086897
1951-09-28,0.734394285714285,1.88642857142857,1.85958550724638,2.34250428571429,2.18364857142857,1.449254285714285
1951-10-31,-3.02724929577465,-3.01521690140845,-2.12055070422535,-2.45352957746479,-2.0669323943662,0.9603169014084498
1951-11-30,1.19507945205479,1.13814084507042,1.72202222222222,1.74218333333333,0.88616712328767,-0.30891232876712005
1951-12-31,2.86226164383562,3.40726575342466,2.46328219178082,1.31491780821918,0.776619178082191,-2.085642465753429
1952-01-31,2.02166891891892,1.32304383561644,0.773412328767122,1.51889589041096,1.36105810810811,-0.6606108108108102
1952-02-29,-4.12011216216216,-2.97733150684931,-2.93894520547945,-1.90301232876712,-0.95635,3.16376216216216
1952-03-31,2.07156081081081,2.27711917808219,3.51356438356164,2.87284520547945,3.27411756756757,1.2025567567567603
1952-04-30,-5.64678513513513,-3.65320410958904,-4.98168378378378,-4.54668219178082,-4.99328378378378,0.6535013513513501
1952-05-29,2.45829189189189,3.60442702702703,2.52371917808219,2.75677432432432,1.42647702702703,-1.0318148648648602
1952-06-30,2.74755405405405,3.72974189189189,3.68996712328767,3.14618378378378,4.82546621621622,2.0779121621621695
1952-07-31,-0.249832894736842,2.2767052631579,1.627684,0.68693157894737,1.516025,1.765857894736842
1952-08-29,-0.00250263157894761,-0.787890789473685,0.246559999999999,-0.636752631578947,0.267447368421053,0.2699500000000006
1952-09-30,-2.28281578947368,-1.83756666666667,-2.149775,-1.678524,-1.55258947368421,0.73022631578947
1952-10-31,-0.906757894736842,-0.965232,-2.0610697368421,-1.44152133333333,-0.714626315789473,0.19213157894736899
1952-11-28,6.17634605263158,5.18746266666667,6.18811184210526,6.483892,7.15358289473684,0.9772368421052606
1952-12-31,2.48512763157895,2.52478266666667,1.91546973684211,2.130052,2.40523157894737,-0.07989605263157973
1953-01-30,-0.304211842105263,0.340667105263159,1.66438666666667,2.64564605263158,4.27098815789474,4.575200000000003
1953-02-27,1.51332631578947,0.208419736842106,-0.0265786666666668,1.56742763157895,0.689503947368421,-0.8238223684210491
1953-03-31,-0.0258039473684206,-0.637209210526316,-2.276744,-0.802046052631579,-1.80724078947369,-1.7814368421052693
1953-04-30,-2.03463684210526,-2.06597368421053,-1.97568533333333,-1.70257236842105,-1.30197368421053,0.73266315789473
1953-05-29,1.16631315789474,0.662125333333333,0.661084210526316,1.07765733333333,0.313597368421052,-0.8527157894736881
1953-06-30,-2.06566578947368,-2.69487466666667,-2.15648552631579,-3.09133866666667,-4.45072763157895,-2.38506184210527
1953-07-31,2.65552368421053,1.83655789473684,2.64104666666667,1.29601052631579,2.09747368421053,-0.5580500000000002
1953-08-31,-3.26690526315789,-4.05330789473684,-4.519972,-5.20679473684211,-6.51921447368421,-3.25230921052632
1953-09-30,0.230913157894736,-0.280201315789474,0.327281578947369,-0.662773684210527,0.000390789473684059,-0.23052236842105192
1953-10-30,2.65156184210526,3.50351184210526,4.34598157894737,4.918425,5.67614868421052,3.02458684210526
1953-11-30,2.95825394736842,2.54936710526316,3.26773289473684,2.86705657894737,1.82916052631579,-1.1290934210526302
1953-12-31,-0.173894736842105,0.144871052631579,0.179749999999999,-0.433580263157895,-2.27019078947368,-2.0962960526315753
1954-01-29,4.599375,5.18760131578947,7.39468289473684,6.60009342105263,8.02759605263158,3.4282210526315797
1954-02-26,0.73932105263158,1.3421947368421,2.45887105263158,1.80603026315789,1.52258947368421,0.7832684210526301
1954-03-31,2.72083157894737,2.44345,3.42088421052632,2.81870657894737,4.30552763157895,1.5846960526315796
1954-04-30,2.39969342105263,2.41370526315789,2.879476,2.0631697368421,0.904801315789474,-1.494892105263156
1954-05-28,3.33031578947368,2.58200394736842,3.80509342105263,4.70870789473684,5.6740302631579,2.34371447368422
1954-06-30,1.38791184210526,2.64603815789474,1.94669868421053,1.93293289473684,1.37501315789474,-0.012898684210520095
1954-07-30,5.28052307692308,6.20918205128205,5.5106987012987,7.56002948717949,10.1376384615385,4.857115384615421
1954-08-31,-2.43653333333333,-2.24336538461538,-1.95180519480519,-1.7043717948718,-1.74215128205128,0.6943820512820502
1954-09-30,4.61415641025641,5.26455974025974,5.98118717948718,5.71110779220779,5.61781666666666,1.0036602564102504
1954-10-29,-1.09566923076923,-0.364214285714285,-1.18146153846154,1.02512857142857,0.848266666666667,1.943935897435897
1954-11-30,10.5158884615385,8.81917142857143,10.4743923076923,9.26175194805195,11.9278871794872,1.4119987179487001
1954-12-31,7.02984871794872,4.52795064935065,5.90082051282051,8.07433896103896,11.6774897435897,4.647641025640979
1955-01-31,-0.918652564102564,-0.499897402597403,2.26046025641026,1.97829220779221,2.85201923076923,3.770671794871794
1955-02-28,4.02346025641026,4.49454545454545,3.67234102564103,5.46676623376623,4.55520897435897,0.5317487179487097
1955-03-31,0.973283333333333,-1.26248701298701,-0.432028205128205,1.16643896103896,0.395285897435898,-0.5779974358974349
1955-04-29,3.51884615384615,2.6239025974026,2.87593717948718,1.37883896103896,2.61341794871795,-0.9054282051281999
1955-05-31,1.39413766233766,2.33514155844156,0.411553246753246,1.45484285714286,0.353975324675324,-1.040162337662336
1955-06-30,4.46825194805195,4.35383246753247,3.13512987012987,3.81653766233766,4.76018051948052,0.29192857142856976
1955-07-29,0.62748831168831,-0.0410545454545454,1.08830921052632,1.77580526315789,1.0927,0.46521168831169
1955-08-31,0.901341558441557,0.320397402597403,1.84539868421053,-0.0533103896103894,1.83222207792208,0.930880519480523
1955-09-30,-1.42349220779221,-1.1487948051948,-0.592637333333334,-0.0685883116883121,-0.405001298701299,1.0184909090909111
1955-10-31,-3.01885064935065,-2.10036710526316,-2.17043552631579,-0.901235064935065,-0.847231168831169,2.1716194805194813
1955-11-30,6.61713376623377,6.5472038961039,5.39534078947368,5.85518571428572,6.31953506493506,-0.2975987012987096
1955-12-30,3.72313246753247,2.8955,2.18414736842105,2.47776753246753,2.39103896103896,-1.3320935064935102
1956-01-31,-3.94906363636364,-3.22855263157895,-3.22684415584416,-2.48359736842105,-2.06030649350649,1.8887571428571501
1956-02-29,4.85012597402598,4.04884078947368,3.50555526315789,2.78313026315789,3.99401558441558,-0.8561103896104001
1956-03-29,8.68295714285714,4.80645,6.46491428571428,5.40902763157895,5.57736753246753,-3.1055896103896092
1956-04-30,2.26702987012987,2.00368552631579,0.238363157894738,0.292222368421053,1.03348181818182,-1.23354805194805
1956-05-31,-5.60745844155844,-3.69304935064935,-3.9225302631579,-4.27866493506494,-4.54242337662338,1.06503506493506
1956-06-29,4.41047012987013,3.07670649350649,2.81816753246753,2.59805324675325,2.27442894736842,-2.13604118250171
1956-07-31,4.1617858974359,4.08428205128205,4.00425769230769,4.69807564102564,6.11728717948718,1.95550128205128
1956-08-31,-2.75727088607595,-2.35365584415584,-1.13245256410256,-1.24121794871795,0.0204949367088607,2.7777658227848105
1956-09-28,-6.39027341772152,-4.03747564102564,-3.71865696202532,-3.43761666666667,-2.47292151898734,3.91735189873418
1956-10-31,0.425470886075949,0.665935443037976,0.771576923076923,1.31083037974684,1.7749746835443,1.349503797468351
1956-11-30,0.0323898734177223,2.80051518987342,-0.889838461538461,0.549115189873417,0.870996202531646,0.8386063291139237
1956-12-31,4.40834556962025,4.85580253164557,3.11226538461538,2.00029620253164,3.39292405063291,-1.0154215189873401
1957-01-31,-3.2056582278481,-0.737525316455696,-1.14709746835443,-0.813977215189874,0.272682278481013,3.478340506329113
1957-02-28,-1.61639375,-2.10037692307692,-2.49409746835443,-2.22942278481013,-3.50731125,-1.8909174999999998
1957-03-29,3.37168860759494,1.07991772151899,2.61882025316456,1.93071518987342,2.55333164556962,-0.8183569620253199
1957-04-30,5.59245316455696,2.32294556962025,2.9716582278481,2.27264556962025,2.64205189873418,-2.95040126582278
1957-05-31,4.11736962025316,2.69472911392405,3.07845769230769,0.881558227848101,1.49857848101266,-2.6187911392405
1957-06-28,0.756698734177215,-0.233593670886075,-1.36001025641026,-1.11234936708861,-0.79433417721519,-1.5510329113924048
1957-07-31,0.295984999999999,1.13221,-0.0484537500000003,0.329753750000001,1.00913875,0.7131537500000009
1957-08-30,-6.2021375,-4.90766125,-4.59738375,-4.230595,-5.794185,0.4079525000000004
1957-09-30,-6.71771875,-5.09613125,-3.8713088607595,-4.74447,-4.58674625,2.1309725000000004
1957-10-31,-5.96461875,-4.4375475,-5.19531012658228,-4.46909375,-6.3809925,-0.41637375
1957-11-29,5.45638,2.73832375,2.42031392405063,2.58015875,1.46484,-3.9915400000000005
1957-12-31,-4.397725,-3.66192125,-3.96592658227848,-3.89726,-6.70527,-2.3075449999999993
1958-01-31,6.74824,6.2475475,9.62836329113924,9.88389625,12.17357875,5.425338750000001
1958-02-28,-1.52152,-0.695478750000001,-0.877528750000001,-0.9114625,-0.120395000000001,1.401124999999999
1958-03-31,4.42176875,3.8298925,3.69783625,4.6706875,4.0520375,-0.36973125000000007
1958-04-30,2.850405,1.70197125,2.4817,1.815765,1.6945625,-1.1558424999999999
1958-05-29,3.92711975308642,2.28759375,3.8874425,2.95701875,4.16819382716049,0.24107407407406978
1958-06-30,2.71295679012346,2.5984075,3.10740375,2.4907425,2.75706913580247,0.04411234567901001
1958-07-31,6.41058395061728,4.28319012345679,4.84839382716049,5.80622469135803,6.40582345679012,-0.004760493827159706
1958-08-29,3.70370864197531,1.90194197530864,3.73126666666667,4.48066296296296,3.87116666666667,0.16745802469135995
1958-09-30,3.8350024691358,4.6901024691358,4.80176419753086,6.34918395061728,6.64016049382716,2.8051580246913606
1958-10-31,3.48791219512195,2.07974683544304,3.25570740740741,2.3735975308642,4.43302073170732,0.9451085365853698
1958-11-28,4.88856219512195,3.40289625,6.27777407407407,5.69858765432098,2.84904146341463,-2.03952073170732
1958-12-31,4.84676097560976,4.2165475,4.31227407407407,4.10554197530864,4.02848170731707,-0.8182792682926898
1959-01-30,0.440859259259259,3.64958375,2.98783,3.7028225,6.14338641975309,5.702527160493831
1959-02-27,4.18075555555555,2.5523625,3.37667,3.07056375,4.32745555555556,0.1467000000000107
1959-03-31,1.50878641975309,0.600775949367089,2.125105,-0.298725,2.04950864197531,0.5407222222222201
